# Astronomical Data for the Solar System
# 2020-01-01 00:00:00
#
# This file contains data on astronomical bodies, taken from JPL:
#
# https://ssd.jpl.nasa.gov/horizons.cgi
#
# The data format is space-separated values (all units in kg, km, and s):
#
# Name mass x y z Vx Vy Vz
Sol 1.98847E30 0 0 0 0 0 0
Mercury 3.302E23 -2.105262111032039E+7 -6.640663808353403E+7 -3.492446023382954E+6 3.665298706393840E+1 -1.228983810111077E+1 -4.368172898981951
Venus 4.8685E24 -1.075055502695123E+8 -3.366520720591562E+6 6.159219802771119E+6 8.891598046362434E-1 -3.515920774124290E+1 -5.318594054684045E-1
Earth 5.97219E24 -2.521092863852298E+7 1.449279195712076E+8 -6.164888475164771E+2 -2.983983333368269E+1 -5.207633918704476 6.169062303484907E-5
Luna 7.349E22  -2.552857888050620E+7 1.446860363961675E+8 3.593933517466486E+4 -2.927904627038706E+1 -6.007566180814270 -1.577640655646029E-3
Mars 6.4171E23 2.079950549908331E+8 -3.143009561106971E+6 -5.178781160069674E+6 1.295003532851602 2.629442067068712E+1 5.190097267545717E-1
Jupiter 1.89813E27 5.989091645448825E+8 4.391225866659732E+8 -1.523251243094400E+7 -7.901937534296936 1.116317705525687E+1 1.306732216640336E-1
Saturn 5.6834E26 9.587063372692145E+8 9.825652108590577E+8 -5.522065646305978E+7 -7.428885682054659 6.738814237844135 1.776643569303560E-1
Uranus 8.6813E25 2.158774703477132E+9 -2.054825231595053E+9 -3.562348723541665E+7 4.637648411798546 4.627192877193521 -4.285025663209385E-2
Neptune 1.02413E26 2.514853503350991E+9 -3.738847517955682E+9 1.903946839551258E+7 4.465802576076253 3.075682494272277 -1.665657515953449E-1
Pluto 1.307E22 -1.477558339934327E+9 -4.182460438550376E+9 8.752694146056010E+8 5.261925689692920 -2.648919644838698 -1.241873053678830
